Name,Alt Name,Year,Genre,Duration,Moviemeter Rank,Moviemeter Rating
What's Eating Gilbert Grape,What's Eating Gilbert Grape?,1993,Drama,118 minutes,234,"3,78"
Room, ,2015,Drama,118 minutes,235,"3,78"
The Help, ,2011,Drama,146 minutes,236,"3,78"
The Great Dictator,De Dictator,1940,"Comedy, War",125 minutes,237,"3,78"
Dial M for Murder,U Spreekt met Uw Moordenaar,1954,"Thriller, Crime",105 minutes,238,"3,78"
Mou Gaan Dou,Infernal Affairs,2002,"Crime, Drama",101 minutes,239,"3,78"
Relatos Salvajes,Wild Tales,2014,"Comedy, Thriller",122 minutes,240,"3,78"
Taegukgi Hwinalrimyeo,Brotherhood,2004,"Drama, War",140 minutes,241,"3,78"
Solyaris,Solaris,1972,"Drama, Scifi",167 minutes,242,"3,78"
White Heat, ,1949,"Filmnoir, Crime",114 minutes,243,"3,78"
Le Cercle Rouge,De Rode Cirkel,1970,"Crime, Thriller",140 minutes,244,"3,78"
Kimi no Na Wa.,Your Name,2016,"Animation, Romance",106 minutes,245,"3,78"
Andrey Rublev,Andrei Rublev,1966,"Biography, Drama",206 minutes,246,"3,78"
In a Lonely Place,Vreemde Ontmoeting,1950,"Drama, Filmnoir",94 minutes,247,"3,78"
Umberto D., ,1952,Drama,89 minutes,248,"3,78"
Werckmeister Harmóniák,Werckmeister Harmonies,2000,"Drama, Mystery",145 minutes,249,"3,78"
Sin City,Frank Miller's Sin City,2005,"Action, Crime",124 minutes,250,"3,77"
